模型,df1,df2,F_stat,F_p_value
M1_baseline,36,970,6.620833302992678,1.1068765060807645e-27
M2_interact_WB,43,963,5.775191655035896,1.3733920239837e-26
M3_interact_WA,45,961,5.629627777369542,1.3024780222545245e-26
M4_interact_BA,41,965,6.028522439306924,3.939415252686766e-27
M5_all_pairwise_interactions,58,948,4.684234168065119,5.833340257807581e-25
M6_add_pregnancy_linear,37,969,6.476605242785808,1.705662424453699e-27
M7_add_birth_linear,37,969,6.502439178456391,1.2288807522209256e-27
M8_add_preg_birth_linear,38,968,6.327967076649879,3.0433588396009788e-27
M9_full_main_linear_counts_all_interactions,60,946,4.572383548476397,1.024927454204527e-24
